6082 C	[0.539587,0.10686,-0.080232]
6083 C	[0.488091,0.113629,-0.083701]
6084 C	[0.453258,0.109344,-0.079699]
6085 C	[0.855988,0.003289,-0.038462]
6086 C	[0.779324,0.004294,-0.049568]
6087 C	[0.733084,0.004426,-0.057235]
6088 C	[0.680597,0.003679,-0.067011]
6089 C	[0.641806,0.004752,-0.08535]
6090 C	[0.573792,0.009503,-0.086554]
6091 C	[0.504115,0.006389,-0.094615]
6092 C	[0.668846,0.016231,-0.080389]
6093 C	[0.644799,0.015594,-0.085443]
6094 C	[0.600544,0.018677,-0.090962]
6095 C	[0.578163,0.018085,-0.098671]
6096 C	[0.519158,0.021345,-0.106464]
6097 C	[0.472122,0.01806,-0.115605]
6098 C	[0.426871,0.016686,-0.117342]
6099 C	[0.723887,-0.003952,-0.082948]
6100 C	[0.661455,-0.007253,-0.090948]
6101 C	[0.607926,-0.007852,-0.106161]
6102 C	[0.574025,-0.008662,-0.103377]
6103 C	[0.460741,-0.002513,-0.1123]
6104 C	[0.381235,-0.012074,-0.136867]
6105 C	[0.374,-0.003453,-0.126328]
6106 C	[0.802573,-0.002008,-0.033868]
6107 C	[0.764809,-0.005308,-0.040945]
6108 C	[0.710662,-0.01106,-0.047387]
6109 C	[0.644574,-0.014024,-0.054173]
6110 C	[0.619133,-0.01296,-0.055572]
6111 C	[0.573896,-0.012931,-0.060537]
6112 C	[0.46371,-0.022898,-0.066792]
6113 C	[0.607758,-0.024353,-0.033119]
6114 C	[0.583882,-0.021863,-0.0328]
6115 C	[0.541001,-0.023795,-0.031111]
6116 C	[0.496349,-0.025863,-0.031576]
6117 C	[0.474284,-0.025289,-0.031778]
6118 C	[0.379935,-0.022068,-0.018041]
6119 C	[0.345589,-0.015753,-0.014414]
6120 C	[0.679149,-0.076644,-0.095462]
6121 C	[0.643528,-0.087862,-0.104947]
6122 C	[0.585846,-0.099333,-0.116987]
6123 C	[0.567218,-0.10087,-0.119465]
6124 C	[0.538185,-0.104604,-0.122447]
6125 C	[0.511618,-0.098094,-0.114548]
6126 C	[0.446845,-0.08453,-0.127629]
6127 C	[0.720427,-0.068566,-0.05605]
6128 C	[0.658647,-0.083943,-0.065376]
6129 C	[0.602203,-0.099689,-0.068625]
6130 C	[0.549709,-0.110047,-0.07043]
6131 C	[0.486122,-0.112201,-0.072267]
6132 C	[0.516582,-0.110146,-0.080559]
6133 C	[0.455603,-0.091234,-0.068751]
6134 C	[0.792451,-0.067222,-0.033272]
6135 C	[0.738605,-0.068966,-0.029407]
6136 C	[0.669088,-0.083112,-0.031143]
6137 C	[0.63407,-0.089424,-0.031991]
6138 C	[0.590929,-0.098615,-0.031866]
6139 C	[0.550166,-0.100235,-0.031823]
6140 C	[0.524155,-0.099736,-0.029741]
6141 C	[0.796538,-0.075738,-0.007384]
6142 C	[0.742175,-0.09455,4.1e-05]
6143 C	[0.673908,-0.120108,0.007719]
6144 C	[0.630193,-0.133474,0.015022]
6145 C	[0.5784,-0.144846,0.021344]
6146 C	[0.538395,-0.150961,0.025379]
6147 C	[0.512288,-0.143317,0.032867]
6148 C	[0.899682,-0.009336,-0.017908]
6149 C	[0.855229,-0.024218,-0.014574]
6150 C	[0.79589,-0.041415,-0.013289]
6151 C	[0.740456,-0.056777,-0.015379]
6152 C	[0.660575,-0.068489,0.000563]
6153 C	[0.582048,-0.077781,0.00708]
6154 C	[0.512541,-0.090181,0.022991]
6155 C	[0.680719,-0.061257,0.007304]
6156 C	[0.623161,-0.070454,0.011862]
6157 C	[0.576489,-0.07748,0.01786]
6158 C	[0.537191,-0.087563,0.023648]
6159 C	[0.488003,-0.092374,0.02032]
6160 C	[0.422554,-0.084245,0.024986]
6161 C	[0.372471,-0.063764,0.01615]
6162 C	[0.661507,-0.120025,0.039669]
6163 C	[0.620801,-0.139258,0.040888]
